item,itemLabel,coord,image
http://www.wikidata.org/entity/Q12980457,Kaila devi,Point(76.8938 26.3351),http://commons.wikimedia.org/wiki/Special:FilePath/Kailadevi%20Temple.jpg
http://www.wikidata.org/entity/Q16909797,Sanwariaji Temple,Point(74.38 24.718055555),http://commons.wikimedia.org/wiki/Special:FilePath/Sanwaliaji3.JPG
http://www.wikidata.org/entity/Q16909797,Sanwariaji Temple,Point(74.38 24.718055555),http://commons.wikimedia.org/wiki/Special:FilePath/Sanwaliaji4.JPG
http://www.wikidata.org/entity/Q12447476,Mehandipur Balaji Temple,Point(76.79 26.94),http://commons.wikimedia.org/wiki/Special:FilePath/Mehandipur%20Balaji%20exterior.jpg
http://www.wikidata.org/entity/Q12448686,Ranakpur Jain Temple,Point(73.447 25.135),http://commons.wikimedia.org/wiki/Special:FilePath/Ranakpur-Adinath-Jaintempel-18-Westseite-2018-gje.jpg
http://www.wikidata.org/entity/Q15964787,Keshav Rai Temple,Point(75.939 25.289),http://commons.wikimedia.org/wiki/Special:FilePath/Ground%20view%20%2C%20kaishawray%20patan.jpg
http://www.wikidata.org/entity/Q7089334,Om Banna,Point(73.198695576 25.891263382),http://commons.wikimedia.org/wiki/Special:FilePath/Pali-Motorcycle%20temple-04-20131012.jpg
http://www.wikidata.org/entity/Q140957688,Jassusar gate Bikaner,Point(73.297777777 28.020277777),http://commons.wikimedia.org/wiki/Special:FilePath/Jassusar%20gate.jpg
http://www.wikidata.org/entity/Q97459600,Jawahar Burj and Ashtadhatu Gateway inside the Bharatpur Fort,Point(77.49435571 27.22294072),http://commons.wikimedia.org/wiki/Special:FilePath/Lohagarh%20Fort%20Bharatpur%20by%20Dr.%20Raju%20Kasambe%20DSCN7788%20%286%29.jpg
http://www.wikidata.org/entity/Q97119404,Fateh Jang Gumbad,Point(76.622777777 27.5625),http://commons.wikimedia.org/wiki/Special:FilePath/Tomb%20of%20Fateh%20Jung%2007.jpg
http://www.wikidata.org/entity/Q97459291,Mahakal and two other temples,Point(75.32801944 25.15665833),http://commons.wikimedia.org/wiki/Special:FilePath/THIS%20GROUP%200F%20TEMPLES%20COMPRISE%20MAHAKAL%2C%20HAZARESHVAR%20AND%20UNDESHVAR%20TEMPLES%20BESIDES%20THE%20MANDAKINI%20KUND.jpg
http://www.wikidata.org/entity/Q109296139,Sariska Palace,Point(76.3725 27.392777777),http://commons.wikimedia.org/wiki/Special:FilePath/Hotel%20Sariska%20Palace%2C%20a%20former%20maharajas%20hunting%20lodge%2C%20in%20the%20Sariska%20Tiger%20Reserve.jpg
http://www.wikidata.org/entity/Q97459466,Temple with Inscriptions,Point(75.88262222 25.14473889),http://commons.wikimedia.org/wiki/Special:FilePath/Shiv%20temple%20kansua%2C%20kota.jpg
http://www.wikidata.org/entity/Q125314936,Ladnu Jain temple,Point(74.394 27.641388888),http://commons.wikimedia.org/wiki/Special:FilePath/Marble%20beauty%20of%20ahimsa.jpg
http://www.wikidata.org/entity/Q109234148,Royal Palace,Point(76.285833333 27.096388888),http://commons.wikimedia.org/wiki/Special:FilePath/Royal%20Place%2C%20Bhangarh.JPG
http://www.wikidata.org/entity/Q109235361,Keshav Rai Temple,Point(76.290111111 27.093166666),http://commons.wikimedia.org/wiki/Special:FilePath/Kesav%20Rai%20Temple%2C%20Bhangarh.JPG
http://www.wikidata.org/entity/Q28178889,Bisaldeo temple,Point(75.457125 25.92705),http://commons.wikimedia.org/wiki/Special:FilePath/Bisaldeo%20temple.jpg
http://www.wikidata.org/entity/Q24947310,Atishaya Kshetra Lunwa Jain Temple,Point(75.1941904 27.0338153),http://commons.wikimedia.org/wiki/Special:FilePath/Khandelwal%20Jain%20Mandir%2C%20Lunwa.jpg
http://www.wikidata.org/entity/Q61479227,"Samadhishvara Temple, Chittorgarh",Point(74.6445 24.8873),http://commons.wikimedia.org/wiki/Special:FilePath/Chittorgarh-Samiddheshwara%20Temple-01-20131014.jpg
http://www.wikidata.org/entity/Q66817156,Main Entrance of Akbar Fort,Point(74.633055555 26.460833333),http://commons.wikimedia.org/wiki/Special:FilePath/Main%20Entrance%20of%20Akbar%27s%20Fort.jpg
http://www.wikidata.org/entity/Q140957631,Kotgate Bikaner,Point(73.311111111 28.016666666),http://commons.wikimedia.org/wiki/Special:FilePath/Entr%C3%A9e%20dans%20la%20ville.jpg
http://www.wikidata.org/entity/Q7683736,Tanot Mata Temple,Point(70.354458 27.798388),http://commons.wikimedia.org/wiki/Special:FilePath/Tanot-Mata%2020240206.jpg
http://www.wikidata.org/entity/Q97459464,"Temple, Fort wall and Statues",Point(75.98664722 24.81560833),http://commons.wikimedia.org/wiki/Special:FilePath/Temple%20Remain%20of%20Darah%20village.jpg
http://www.wikidata.org/entity/Q16895212,Mirpur Jain Temple,Point(72.8064 24.8575),http://commons.wikimedia.org/wiki/Special:FilePath/Mirpur%20Jain%20Temple%2C%20Rajasthan.JPG
http://www.wikidata.org/entity/Q109235892,tomb near Hanuman gate,Point(76.296666666 27.097777777),http://commons.wikimedia.org/wiki/Special:FilePath/Unknown%20Tomb-1%2C%20Bhangarh.JPG
http://www.wikidata.org/entity/Q97119597,Jag Mandir,Point(75.849381228 25.183038293),http://commons.wikimedia.org/wiki/Special:FilePath/Jag%20Mandir%20Kota.jpg
http://www.wikidata.org/entity/Q109246425,Hanuman Temple,Point(76.29475 27.0965),http://commons.wikimedia.org/wiki/Special:FilePath/Hanuman%20temple%20bhangarh.jpg
http://www.wikidata.org/entity/Q140562802,Nur Chashma Ajmer,Point(74.611666666 26.435),http://commons.wikimedia.org/wiki/Special:FilePath/Chashma%20i%20Nur.jpg
http://www.wikidata.org/entity/Q97119474,cenotaphs of the early rulers of Bikaner,Point(73.302777777 28.002222222),http://commons.wikimedia.org/wiki/Special:FilePath/Cenotaphs%20of%20the%20early%20rulers%20of%20Bikaner%20Roa%20Bikaji%20ki%20Takari.jpg
http://www.wikidata.org/entity/Q97459270,Tomb of Abdulla Khan and his wife,Point(74.63772668 26.45235328),http://commons.wikimedia.org/wiki/Special:FilePath/Abdulla%20khan%20%26%20wife%27s%20tomb.jpg
